date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:48	185890/185890	--FM--	200	added ('OK')	text/html		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com.html	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com.html	(from )
16:54:48	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2011%20Jul%202024%2021:54:48%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/Kevin%20Samboni/Desktop/ds/www.googletagmanager.com/gtm.05445.delayed	(from )
16:54:48	1569/1569	--FM--	200	added ('OK')	application/descarga		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/linkid.js.descarga	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/linkid.js.descarga	(from )
16:54:48	74673/74673	--FM--	200	added ('OK')	application/octet-stream		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/250286619111840	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/250286619111840	(from )
16:54:48	209793/209793	--FM--	200	added ('OK')	application/octet-stream		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/destination	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/destination	(from )
16:54:48	52916/52916	--FM--	200	added ('OK')	application/descarga		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/analytics.js.descarga	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/analytics.js.descarga	(from )
16:54:48	228811/228811	--FM--	200	added ('OK')	application/descarga		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/fbevents.js.descarga	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/fbevents.js.descarga	(from )
16:54:48	303280/303280	--FM--	200	added ('OK')	application/octet-stream		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/js	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/js	(from )
16:54:48	309135/309135	--FM--	200	added ('OK')	application/octet-stream		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/js(1)	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/js(1)	(from )
16:54:48	333835/333835	--FM--	200	added ('OK')	application/descarga		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/gtm.js.descarga	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/gtm.js.descarga	(from )
16:54:48	226706/226706	--FM--	200	added ('OK')	application/octet-stream		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/y-You-must-perfe-is-appy-Peach-slaine-Lamberly-m	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/y-You-must-perfe-is-appy-Peach-slaine-Lamberly-m	(from )
16:54:48	231142/231142	--FM--	200	added ('OK')	application/descarga		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA7NVfgqrux_10291240606133530.js.descarga	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA7NVfgqrux_10291240606133530.js.descarga	(from )
16:54:48	239278/239278	--FM--	200	added ('OK')	application/descarga		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA7NVfghqrux_10291240606133530.js.descarga	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA7NVfghqrux_10291240606133530.js.descarga	(from )
16:54:48	239196/239196	--FM--	200	added ('OK')	application/descarga		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA7NVfghqrux_10289240325103055.js.descarga	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA7NVfghqrux_10289240325103055.js.descarga	(from )
16:54:48	239196/239196	--FM--	200	added ('OK')	application/descarga		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA7NVfghqrux_10287240325103108.js.descarga	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA7NVfghqrux_10287240325103108.js.descarga	(from )
16:54:48	239197/239197	--FM--	200	added ('OK')	application/descarga		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA27NVdefghijmoqruvx_10283240117152214.js.descarga	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA27NVdefghijmoqruvx_10283240117152214.js.descarga	(from )
16:54:48	239197/239197	--FM--	200	added ('OK')	application/descarga		file:///C:/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA27NVdefghijmoqruvx_10281231207105659.js.descarga	C:/Users/Kevin%20Samboni/Desktop/ds/file/C_/Users/Kevin%20Samboni/Downloads/www.daviplata.com_files/ruxitagentjs_ICA27NVdefghijmoqruvx_10281231207105659.js.descarga	(from )
